 lat.  lon.
  0.00000  -0.56642  
  0.00000  -0.55639  
  0.00000  -0.54637  
  0.00000  -0.53634  
  0.00000  -0.52632  
  0.00000  -0.51629  
  0.00000  -0.50627  
  0.00000  -0.49624  
  0.00000  -0.48622  
  0.00000  -0.47619  
  0.00000  -0.46616  
  0.00000  -0.45614  
  0.00000  -0.44611  
  0.00000  -0.43609  
  0.00000  -0.42607  
  0.00000  -0.41604  
  0.00000  -0.40602  
  0.00000  -0.39599  
  0.00000  -0.38597  
  0.00000  -0.37594  
  0.00000  -0.36591  
  0.00000  -0.35589  
  0.00000  -0.34586  
  0.00000  -0.33584  
  0.00000  -0.32582  
  0.00000  -0.31579  
  0.00000  -0.30576  
  0.00000  -0.29574  
  0.00000  -0.28571  
  0.00000  -0.27569  
  0.00000  -0.26566  
  0.00000  -0.25564  
  0.00000  -0.24561  
  0.00000  -0.23559  
  0.00000  -0.22556  
  0.00000  -0.21554  
  0.00000  -0.20551  
  0.00000  -0.19549  
  0.00000  -0.18546  
  0.00000  -0.17544  
  0.00000  -0.16541  
  0.00000  -0.15539  
  0.00000  -0.14536  
  0.00000  -0.13534  
  0.00000  -0.12531  
  0.00000  -0.11529  
  0.00000  -0.10526  
  0.00000  -0.09524  
  0.00000  -0.08521  
  0.00000  -0.07519  
  0.00000  -0.06516  
  0.00000  -0.05514  
  0.00000  -0.04511  
  0.00000  -0.03509  
  0.00000  -0.02506  
  0.00000  -0.01504  
  0.00000  -0.00501  
  0.00000   0.00501  
  0.00000   0.01504  
  0.00000   0.02506  
  0.00000   0.03509  
  0.00000   0.04511  
  0.00000   0.05514  
  0.00000   0.06516  
  0.00000   0.07519  
  0.00000   0.08521  
  0.00000   0.09524  
  0.00000   0.10526  
  0.00000   0.11529  
  0.00000   0.12531  
  0.00000   0.13534  
  0.00000   0.14536  
  0.00000   0.15539  
  0.00000   0.16541  
  0.00000   0.17544  
  0.00000   0.18546  
  0.00000   0.19549  
  0.00000   0.20551  
  0.00000   0.21554  
  0.00000   0.22556  
  0.00000   0.23559  
  0.00000   0.24561  
  0.00000   0.25564  
  0.00000   0.26566  
  0.00000   0.27569  
  0.00000   0.28571  
  0.00000   0.29574  
  0.00000   0.30576  
  0.00000   0.31579  
  0.00000   0.32582  
  0.00000   0.33584  
  0.00000   0.34586  
  0.00000   0.35589  
  0.00000   0.36591  
  0.00000   0.37594  
  0.00000   0.38597  
  0.00000   0.39599  
  0.00000   0.40602  
  0.00000   0.41604  
  0.00000   0.42607  
  0.00000   0.43609  
  0.00000   0.44611  
  0.00000   0.45614  
  0.00000   0.46616  
  0.00000   0.47619  
  0.00000   0.48622  
  0.00000   0.49624  
  0.00000   0.50627  
  0.00000   0.51629  
  0.00000   0.52632  
  0.00000   0.53634  
  0.00000   0.54637  
  0.00000   0.55639  
  0.00000   0.56642  
  0.00000   0.57644  
  0.00000   0.58647  
  0.00000   0.59649  
  0.00000   0.60652  
  0.00000   0.61654  
  0.00000   0.62657  
  0.00000   0.63659  
  0.00000   0.64662  
  0.00000   0.65664  
  0.00000   0.66667  
  0.00000   0.67669  
  0.00000   0.68672  
  0.00000   0.69674  
  0.00000   0.70677  
  0.00000   0.71679  
  0.00000   0.72682  
  0.00000   0.73684  
  0.00000   0.74687  
  0.00000   0.75689  
  0.00000   0.76692  
  0.00000   0.77694  
  0.00000   0.78697  
  0.00000   0.79699  
  0.00000   0.80702  
  0.00000   0.81704  
  0.00000   0.82707  
  0.00000   0.83709  
  0.00000   0.84712  
  0.00000   0.85714  
  0.00000   0.86717  
  0.00000   0.87719  
  0.00000   0.88722  
  0.00000   0.89724  
  0.00000   0.90727  
  0.00000   0.91729  
  0.00000   0.92732  
  0.00000   0.93734  
  0.00000   0.94737  
  0.00000   0.95739  
  0.00000   0.96742  
  0.00000   0.97744  
  0.00000   0.98747  
  0.00000   0.99749  
  0.00000   1.00752  
  0.00000   1.01754  
  0.00000   1.02757  
  0.00000   1.03759  
  0.00000   1.04762  
  0.00000   1.05764  
  0.00000   1.06767  
  0.00000   1.07769  
  0.00000   1.08772  
  0.00000   1.09774  
  0.00000   1.10777  
  0.00000   1.11779  
  0.00000   1.12782  
  0.00000   1.13784  
  0.00000   1.14787  
  0.00000   1.15789  
  0.00000   1.16792  
  0.00000   1.17795  
  0.00000   1.18797  
  0.00000   1.19799  
  0.00000   1.20802  
  0.00000   1.21805  
  0.00000   1.22807  
  0.00000   1.23809  
  0.00000   1.24812  
  0.00000   1.25815  
  0.00000   1.26817  
  0.00000   1.27819  
  0.00000   1.28822  
  0.00000   1.29825  
  0.00000   1.30827  
  0.00000   1.31830  
  0.00000   1.32832  
  0.00000   1.33835  
  0.00000   1.34837  
  0.00000   1.35840  
  0.00000   1.36842  
  0.00000   1.37845  
  0.00000   1.38847  
  0.00000   1.39850  
  0.00000   1.40852  
  0.00000   1.41855  
  0.00000   1.42857  
  0.00000   1.43860  
  0.00000   1.44862  
  0.00000   1.45865  
  0.00000   1.46867  
  0.00000   1.47870  
  0.00000   1.48872  
  0.00000   1.49875  
  0.00000   1.50877  
  0.00000   1.51880  
  0.00000   1.52882  
  0.00000   1.53885  
  0.00000   1.54887  
  0.00000   1.55890  
  0.00000   1.56892  
  0.00000   1.57895  
  0.00000   1.58897  
  0.00000   1.59900  
  0.00000   1.60902  
  0.00000   1.61905  
  0.00000   1.62907  
  0.00000   1.63910  
  0.00000   1.64912  
  0.00000   1.65915  
  0.00000   1.66917  
  0.00000   1.67920  
  0.00000   1.68922  
  0.00000   1.69925  
  0.00000   1.70927  
  0.00000   1.71930  
  0.00000   1.72932  
  0.00000   1.73935  
  0.00000   1.74937  
  0.00000   1.75940  
  0.00000   1.76942  
  0.00000   1.77945  
  0.00000   1.78947  
  0.00000   1.79950  
  0.00000   1.80952  
  0.00000   1.81955  
  0.00000   1.82957  
  0.00000   1.83960  
  0.00000   1.84962  
  0.00000   1.85965  
  0.00000   1.86967  
  0.00000   1.87970  
  0.00000   1.88972  
  0.00000   1.89975  
  0.00000   1.90977  
  0.00000   1.91980  
  0.00000   1.92982  
  0.00000   1.93985  
  0.00000   1.94988  
  0.00000   1.95990  
  0.00000   1.96992  
  0.00000   1.97995  
  0.00000   1.98998  
  0.00000   2.00000  
